[  2] 5000  Q:971607  E: 25498  H: 25498  D: 24104  I:24040  R: 2047  C:45224  L:  70K
*** crawling 554.3 pps @ 23.00789 Mbps
[ 14] 5000  Q:964941  E: 30060  H: 30060  D: 28342  I:28268  R: 2361  C:51975  L:  81K
*** crawling 2281.0 pps @ 93.05103 Mbps
[ 16] 5000  Q:957042  E: 37959  H: 37959  D: 35645  I:35549  R: 2788  C:58611  L:  88K
*** crawling 3949.5 pps @ 133.53841 Mbps
[ 18] 5000  Q:944441  E: 50560  H: 50560  D: 47195  I:47053  R: 2855  C:59231  L:  91K
*** crawling 6300.5 pps @ 189.72166 Mbps
[ 20] 5000  Q:932103  E: 62898  H: 62898  D: 58415  I:58194  R: 2867  C:59366  L:  91K
*** crawling 6169.0 pps @ 180.95299 Mbps
[ 22] 5000  Q:918742  E: 76259  H: 76259  D: 70590  I:70290  R: 2869  C:59397  L:  91K
*** crawling 6680.5 pps @ 201.58485 Mbps
[ 24] 5000  Q:906681  E: 88320  H: 88320  D: 81269  I:80838  R: 2875  C:59499  L:  91K
*** crawling 6030.5 pps @ 176.18967 Mbps
[ 26] 5000  Q:894657  E:100344  H:100344  D: 91756  I:91232  R: 2880  C:59529  L:  91K
*** crawling 6012.0 pps @ 176.99017 Mbps
[ 28] 5000  Q:882887  E:112114  H:112114  D:101134  I:100486  R: 2880  C:59533  L:  91K
*** crawling 11770.0 pps @ 335.86139 Mbps
[ 30] 5000  Q:871230  E:123771  H:123771  D:110919  I:110108  R: 2880  C:59536  L:  91K
*** crawling 5828.5 pps @ 165.20505 Mbps
[ 32] 5000  Q:859967  E:135034  H:135034  D:120491  I:119537  R: 2880  C:59540  L:  91K
*** crawling 11263.0 pps @ 315.15625 Mbps
[ 34] 5000  Q:849265  E:145736  H:145736  D:129568  I:128346  R: 2880  C:59542  L:  91K
*** crawling 5351.0 pps @ 149.10806 Mbps
[ 36] 5000  Q:838917  E:156084  H:156084  D:136656  I:135287  R: 2881  C:59546  L:  91K
*** crawling 5174.0 pps @ 139.12697 Mbps
[ 38] 5000  Q:829023  E:165978  H:165978  D:143959  I:142464  R: 2881  C:59552  L:  91K
*** crawling 4947.0 pps @ 132.16344 Mbps
[ 40] 5000  Q:818703  E:176298  H:176298  D:153083  I:151457  R: 2882  C:59558  L:  91K
*** crawling 5160.0 pps @ 141.04800 Mbps
[ 43] 5000  Q:808010  E:186991  H:186991  D:163063  I:161361  R: 2882  C:59566  L:  91K
*** crawling 5346.5 pps @ 148.10373 Mbps
[ 45] 5000  Q:798221  E:196780  H:196780  D:170176  I:168389  R: 2882  C:59574  L:  91K
*** crawling 4894.5 pps @ 131.53326 Mbps
[ 47] 5000  Q:787832  E:207169  H:207169  D:176464  I:174493  R: 2883  C:59579  L:  91K
*** crawling 10389.0 pps @ 285.36765 Mbps
[ 49] 5000  Q:777880  E:217121  H:217121  D:183369  I:181192  R: 2883  C:59579  L:  91K
*** crawling 9952.0 pps @ 271.70157 Mbps
[ 51] 5000  Q:767945  E:227056  H:227056  D:189950  I:187524  R: 2883  C:59589  L:  91K
*** crawling 4967.5 pps @ 136.85890 Mbps
[ 53] 5000  Q:757750  E:237251  H:237251  D:198275  I:195609  R: 2883  C:59589  L:  91K
*** crawling 5097.5 pps @ 146.85318 Mbps
[ 55] 5000  Q:747851  E:247150  H:247150  D:206283  I:203433  R: 2883  C:59592  L:  91K
*** crawling 4949.5 pps @ 128.62975 Mbps
[ 57] 5000  Q:738601  E:256400  H:256400  D:214619  I:211611  R: 2883  C:59592  L:  91K
*** crawling 4625.0 pps @ 121.94635 Mbps
[ 59] 5000  Q:729818  E:265183  H:265183  D:222903  I:219797  R: 2883  C:59593  L:  91K
*** crawling 8783.0 pps @ 237.18007 Mbps
[ 61] 5000  Q:721237  E:273764  H:273764  D:231076  I:227835  R: 2883  C:59593  L:  91K
*** crawling 4290.5 pps @ 109.52307 Mbps
